audiourl,title,artist,catalogue,writer,publishing
,Cadillac,"Renegades, The",45-157,,
,Can't You See,"Renegades, The",45-157,,
,I Was There,"Renegades, The",45-157,,
,Can't See You,"Renegades, The",45-158,,
,Thirteen Women,"REnegades, The",45-158,,
,Baby Scratch My Back,"Flamin Groovies, The",45-159,,
,Carol,"Flamin Groovies, The",45-159,,
,Nautiloid Reef,"Nautiloids, The",45-160,,Hoody Music
,Nautiloid Surf,"Nautiloids, The",45-160,,Hoody Music
,Aw C'mon Baby,Myron Lee and the Caddies,45-161,,
,Homicide,Myron Lee and the Caddies,45-161,,
,Mo Gorilla,"Ideals, the",45-162,,
,The Gorilla,"Ideals, the",45-162,,
,Stringer,Bobby Fuller And The Fanatics,45-163,,"TOdd Music, Unichappell Music"
,The Chase,Bobby Fuller And The Fanatics,45-163,,War CLoud Music
,Scratchin' And Whammin',"Fred Wolff Combo, The",45-164,,
,Somebody Else Was Suckin' My Dick Last Night,"Fred Wolff Combo, The",45-164,,
,Cool Love,Bob Norris,45-165,,
,Gila Monster,Joe Johnson,45-165,,
,Party Time,Joe Johnson,45-165,,
,Gila Monster (alt version),Joe Johnson,45-166,,
,"Worry, Worry, Worry",Tommy Knackin and The Four Jets,45-166,,
,(Christmas At)Montsegur,Knights Of New Crusade,45-167,,
,Three Magi Of Damascus,Knights Of New Crusade,45-167,,
,Get Out Of My Car,Hasil Adkins and his Happy Guitar,45-168,,
,Shake That Thing,Hasil Adkins and his Happy Guitar,45-168,,
,Hittin' on Nothing,Esquerita,45-170,,Emi Unart Catalog Inc
,Letter Full of Tears,Esquerita,45-170,,ABKO MUSIC INC
,Blue,Mick Collins And Danny Kroha,45-1701,,"South of 8 Mile Music,Dog Butt Music, Kim Fowley Music"
,Infinite Sadness,Mick Collins And Danny Kroha,45-1701,,"South of 8 Mile Music,Dog Butt Music, Kim Fowley Music"
,Red,Mick Collins And Danny Kroha,45-1701,,"South of 8 Mile Music,Dog Butt Music, Kim Fowley Music"
,Summer Storms,Mick Collins And Danny Kroha,45-1701,,"South of 8 Mile Music,Dog Butt Music, Kim Fowley Music"
,Welcome To The Cemetary Club,Mick Collins And Danny Kroha,45-1701,,"South of 8 Mile Music,Dog Butt Music, Kim Fowley Music"
,Whispers And Pretty Horses,Mick Collins And Danny Kroha,45-1701,,"South of 8 Mile Music,Dog Butt Music, Kim Fowley Music"
,Winter Blues and Greens,Mick Collins And Danny Kroha,45-1701,,"South of 8 Mile Music,Dog Butt Music, Kim Fowley Music"
,Intensity,The Flamethrowers,45-1702,,True Tone Publishing Music
,Suzette,The Flamethrowers,45-1702,,True Tone Publishing Music
,The Knights Caper,The Flamethrowers,45-1702,,True Tone Publishing Music
,Whippy Wow,The Flamethrowers,45-1702,,True Tone Publishing Music
,Calypso Baby Rock,Hurricane Marty,45-171,,
,Hurricane Rock,Hurricane Marty,45-171,,
,Bhaji Blues,"Tandoori Knights, The",45-172,,
,I Hear Someone Cry,"Tandoori Knights, The",45-172
,Wild Wild East,"Tandoori Knights, The",45-172
,I Know Your Mind,Luis And The Wildfires,45-173
,Who Likes Christmas Anyway?,Luis And The Wildfires,45-173
